Timestamp,Date,Circle CCTP,Arbitrum Bridge,Wormhole,Across,Meson,Orbiter Finance,Stargate,deBridge,Polygon PoS Bridge,Squid (Powered by Axelar),Eywa,Synapse,Gnosis Bridge,Hyperlane,Symbiosis,Base Bridge,Celer cBridge,Optimism Gateway,Sui Bridge,Allbridge Core,Layerswap,yBridge by xSync Network,RetroBridge,Hop,Owlto,Nitro (by Router Protocol),Avalanche Bridge,ZKsync Era Bridge,Threshold Network,Satellite (Powered by Axelar),WanBridge,Garden,zkBridge,Manta Pacific Bridge,MeMeBridge,Mode Network,Rainbow Bridge,Allbridge Classic,Rootstock Token Bridge,Mint,MiniBridge,CometBridge,XSwap,Zircuit Bridge,Mantle Bridge,Fuse Bridge,Crowdswap,Polygon zkEVM Bridge,Connext,Bunnyfi,pNetwork,Interport Finance,MES Protocol,Total
1665964800,2022-10-17,,250693.8262791884,,,,,,,134541.45909997504,,,,,,,,,417069.62012913096,,,,,,,,,11743686.803456198,,,,,,,,,,,,,,,,,,,,,,,,,,,12545991.708964493
1666051200,2022-10-18,,1616607.053477889,,,,,,,71120486.98362863,,,,,,,,,9350076.059840443,,,,,,,,,13153692.980061004,,,,,,,,,,,,,,,,,,,,,,,,,,,95240863.07700796
1666137600,2022-10-19,,8026438.285037854,,,,,,,62732951.228819534,,,,,,,,,1296316.1592524184,,,,,,,,,3890110.0007482097,,,,,,,,,,,,,,,,,,,,,,,,,,,75945815.67385802
1666224000,2022-10-20,,1640262.4250013744,,,,,,,10965035.10056198,,,,,,,,,6600089.382110067,,,,,,,,,11513657.517069228,,,,,,,,,,,,,,,,,,,,,,,,,,,30719044.42474265
1666310400,2022-10-21,,7129503.535962498,,,,,,,23829366.162965566,,,,,,,,,2295483.5265091592,,,,,,,,,3989191.320841315,,,,,,,,,,,,,,,,,,,,,,,,,,,37243544.54627854
1666396800,2022-10-22,,17635781.55085703,,,,,,,2694253.896890511,,,,,,,,,1261595.4210094998,,,,,,,,,720210.1332449823,,,,,,,,,,,,,,,,,,,,,,,,,,,22311841.002002023
1666483200,2022-10-23,,1502722.8193054637,,,,,,,2575550.2181926994,,,,,,,,,1039060.7637196133,,,,,,,,,3797250.613470379,,,,,,,,,,,,,,,,,,,,,,,,,,,8914584.414688155
1666569600,2022-10-24,,4309949.130911687,,,,,,,6943877.950555658,,,,,,,,,4189157.0354689863,,,,,,,,,954593.7657926593,,,,,,,,,,,,,,,,,,,,,,,,,,,16397577.88272899
1666656000,2022-10-25,,4672269.142696783,,,,,,,6772838.697922112,,,1530288.7585950012,,,,,1744422.5747687598,12090985.21350032,,,,,,,,,2772941.4005973847,,,,,,,,,,,,,,,,,,,,,,,,,,,29583745.788080364
1666742400,2022-10-26,,23357707.90023542,,,,,,,29861721.411282934,,,2592611.439814233,,,,,1148558.86629666,7755703.346535685,,,,,,,,,3066702.033482191,,,,,,,,,,,,,,,,,,,,,,,,,,,67783004.99764712
1666828800,2022-10-27,,6736902.285453778,,,,,,,11740587.252839306,,,1877700.8664376605,,,,,1154861.605838022,22012373.170546174,,,,,,3014401.1103747524,,,4582337.92651201,,,,,,,,,,,,,,,,,,,,,,,,,,,51119164.2180017
1666915200,2022-10-28,,6690460.464166629,,,,,,,5494858.226971063,,,1525102.2880815002,,,,,1085775.7850319818,5490896.502975494,,,,,,2635972.2754661343,,,6357223.994118938,,,,,,,,,,,,,,,,,,,,,,,,,,,29280289.53681174
