"Date(UTC)","UnixTimeStamp","Value"
"1/2/2021","1609545600","811624454175023081939"
"1/3/2021","1609632000","922948307368052978826"
"1/4/2021","1609718400","974883170176699888957"
"1/5/2021","1609804800","906058049728861529335"
"1/6/2021","1609891200","822901610255764454009"
"1/7/2021","1609977600","924968942006740959093"
"1/8/2021","1610064000","923158363449268991055"
"1/9/2021","1610150400","848004489771605993629"
"1/10/2021","1610236800","874404758575781451449"
"1/11/2021","1610323200","942514915561329562444"
"1/12/2021","1610409600","751064027205588166697"
"1/13/2021","1610496000","840288837616731318231"
"1/14/2021","1610582400","850386523757751917334"
"1/15/2021","1610668800","753763868868582790476"
"1/16/2021","1610755200","698751804928379425517"
"1/17/2021","1610841600","699331404146045096466"
"1/18/2021","1610928000","703427060390868509180"
"1/19/2021","1611014400","793524036834628817377"
"1/20/2021","1611100800","702250664345211845371"
"1/21/2021","1611187200","798601161240951345968"
"1/22/2021","1611273600","818702241114515617929"
"1/23/2021","1611360000","779106167886591092138"
"1/24/2021","1611446400","825362953521032939910"
"1/25/2021","1611532800","961749949967832930449"
"1/26/2021","1611619200","1225346612582770064224"
"1/27/2021","1611705600","1683459416780802350410"
"1/28/2021","1611792000","1707662646119790630977"
"1/29/2021","1611878400","1407614224848724576627"
"1/30/2021","1611964800","1527645438129992853558"
"1/31/2021","1612051200","1573296018236411384731"
"2/1/2021","1612137600","1772240052699183107264"
"2/2/2021","1612224000","1844198277324236861570"
"2/3/2021","1612310400","1797724669100223331257"
"2/4/2021","1612396800","1849271876142297496807"
"2/5/2021","1612483200","2135606619916279338025"
"2/6/2021","1612569600","2274029174654066621249"
"2/7/2021","1612656000","2199575205885994093543"
"2/8/2021","1612742400","2656908438565516831125"
"2/9/2021","1612828800","3306884210499769091458"
"2/10/2021","1612915200","3451283052929099563626"
"2/11/2021","1613001600","2626288071543638749176"
"2/12/2021","1613088000","2280462692111587463456"
"2/13/2021","1613174400","1969662576796823922442"
"2/14/2021","1613260800","2496528593602993414356"
"2/15/2021","1613347200","2867556552079633085202"
"2/16/2021","1613433600","3310049583458747614565"
"2/17/2021","1613520000","3598843756185103923174"
"2/18/2021","1613606400","4125913485680611239060"
"2/19/2021","1613692800","5181582662975332905723"
"2/20/2021","1613779200","4629037509937831057915"
"2/21/2021","1613865600","3726246883809693464925"
"2/22/2021","1613952000","4238853218983535171969"
"2/23/2021","1614038400","4738177990210273338282"
"2/24/2021","1614124800","3959360754394297642424"
"2/25/2021","1614211200","3742252489998299266781"
"2/26/2021","1614297600","3968489048215598693219"
"2/27/2021","1614384000","3543793001264612004807"
"2/28/2021","1614470400","3327359275665979042879"
"3/1/2021","1614556800","3519043735177488205344"
"3/2/2021","1614643200","3311708094405740584193"
"3/3/2021","1614729600","2859886733456248622603"
"3/4/2021","1614816000","3315938094017670087247"
"3/5/2021","1614902400","3031725025364708342301"
"3/6/2021","1614988800","2813304714156194495199"
"3/7/2021","1615075200","3278797563787049797653"
"3/8/2021","1615161600","2984477753827847358840"
"3/9/2021","1615248000","3462631627203023339096"
"3/10/2021","1615334400","3659374381199137502788"
"3/11/2021","1615420800","3952751988351511590607"
"3/12/2021","1615507200","3714816989033160072363"
"3/13/2021","1615593600","3429958273034090756298"
"3/14/2021","1615680000","3760984642551905143101"
"3/15/2021","1615766400","4051385899040855908554"
"3/16/2021","1615852800","4536116128500896301532"
"3/17/2021","1615939200","4017660905929125851800"
"3/18/2021","1616025600","4460020025851783259348"
"3/19/2021","1616112000","3817809389567127574489"
"3/20/2021","1616198400","3388503936261686161338"
"3/21/2021","1616284800","3505313937396425904008"
"3/22/2021","1616371200","3963299246127036556778"
"3/23/2021","1616457600","4171315266160162172994"
"3/24/2021","1616544000","4842337771123765328053"
"3/25/2021","1616630400","5409148889461986858016"
"3/26/2021","1616716800","4644210138070370955376"
"3/27/2021","1616803200","4412628969074533942080"
"3/28/2021","1616889600","4161180804811572657818"
"3/29/2021","1616976000","4451347451418713063915"
"3/30/2021","1617062400","4435124822311553752023"
"3/31/2021","1617148800","4481100885306206112442"
"4/1/2021","1617235200","4476613478621790153835"
"4/2/2021","1617321600","5382987322901274126116"
"4/3/2021","1617408000","5343898253614161481116"
"4/4/2021","1617494400","5300389842496099468092"
"4/5/2021","1617580800","6031285456139964403640"
"4/6/2021","1617667200","5737938499451762103994"
"4/7/2021","1617753600","5006981034543897542118"
"4/8/2021","1617840000","4941089214126830128951"
"4/9/2021","1617926400","4583112121573130829695"
"4/10/2021","1618012800","4294059924899385615603"
"4/11/2021","1618099200","3649476519334650684057"
"4/12/2021","1618185600","4385498155635033099135"
"4/13/2021","1618272000","3580003637550243647164"
"4/14/2021","1618358400","3549912671890798170555"
"4/15/2021","1618444800","3615336293811296727877"
"4/16/2021","1618531200","3887834711444757154322"
"4/17/2021","1618617600","3827301642940670354312"
"4/18/2021","1618704000","4349603853851928890821"
"4/19/2021","1618790400","5310381350408902030000"
"4/20/2021","1618876800","7947244441111870157217"
"4/21/2021","1618963200","8839277084128692345050"
"4/22/2021","1619049600","6686672601254301046587"
"4/23/2021","1619136000","5746534715199521345208"
"4/24/2021","1619222400","6076088243471806828875"
"4/25/2021","1619308800","5656255706989042301291"
"4/26/2021","1619395200","6401935531210499435237"
"4/27/2021","1619481600","5971270257200510389355"
"4/28/2021","1619568000","5496697829717958235334"
"4/29/2021","1619654400","5555454326999260465158"
"4/30/2021","1619740800","5691799485885177313719"
"5/1/2021","1619827200","5329202237094019477540"
"5/2/2021","1619913600","5615806894285890085336"
"5/3/2021","1620000000","5934859744923934751641"
"5/4/2021","1620086400","5587370827777451731096"
"5/5/2021","1620172800","5665860271181400136690"
"5/6/2021","1620259200","6387072946013737745161"
"5/7/2021","1620345600","6615733159718931134840"
"5/8/2021","1620432000","6323102114682870617556"
"5/9/2021","1620518400","7433721168471877409592"
"5/10/2021","1620604800","9169065790176202239406"
"5/11/2021","1620691200","15872045533668596170334"
"5/12/2021","1620777600","13257275521862891743311"
"5/13/2021","1620864000","9752678701193278053845"
"5/14/2021","1620950400","9155327762197112615238"
"5/15/2021","1621036800","8848362394347505990535"
"5/16/2021","1621123200","8274843028424438583167"
"5/17/2021","1621209600","7925812724412065883795"
"5/18/2021","1621296000","7722890582868739456589"
"5/19/2021","1621382400","10886232801057325140925"
"5/20/2021","1621468800","9910520451117913912787"
"5/21/2021","1621555200","7155823170593424688691"
"5/22/2021","1621641600","5151696645852909016499"
"5/23/2021","1621728000","7571318963295612854983"
"5/24/2021","1621814400","5318015197888126172030"
"5/25/2021","1621900800","4911509088141439932727"
"5/26/2021","1621987200","4818976052478628135557"
"5/27/2021","1622073600","6042190483126959286912"
"5/28/2021","1622160000","4928000940943032941084"
"5/29/2021","1622246400","4345572053230624099168"
"5/30/2021","1622332800","4167646313713220636679"
"5/31/2021","1622419200","4364299377273818781169"
"6/1/2021","1622505600","5058586048844229177807"
"6/2/2021","1622592000","4823723390236698978602"
"6/3/2021","1622678400","5051655771275005179095"
"6/4/2021","1622764800","4556428584049477988411"
"6/5/2021","1622851200","4755028330993103253227"
"6/6/2021","1622937600","3825573860055606037871"
"6/7/2021","1623024000","4532061830404201131737"
"6/8/2021","1623110400","3973375757073571085235"
"6/9/2021","1623196800","3989388904266330897686"
"6/10/2021","1623283200","3838144316061998518922"
"6/11/2021","1623369600","4166172403821584188754"
"6/12/2021","1623456000","3557057191307063304158"
"6/13/2021","1623542400","3934144912132298358475"
"6/14/2021","1623628800","3731928277496742712756"
"6/15/2021","1623715200","4197430700530567704171"
"6/16/2021","1623801600","4147705988753813810941"
"6/17/2021","1623888000","4680701296852317988471"
"6/18/2021","1623974400","4513437584127076706994"
"6/19/2021","1624060800","3773422471978258967622"
"6/20/2021","1624147200","3580332914980200161338"
"6/21/2021","1624233600","4394458742283477074761"
"6/22/2021","1624320000","4976241613196104404471"
"6/23/2021","1624406400","3626736224732411829594"
"6/24/2021","1624492800","3809881800768705289969"
"6/25/2021","1624579200","4030151109650080054860"
"6/26/2021","1624665600","3330957187258502777505"
