Date,Value
2023-02-14,0
2023-02-15,0.05312441525
2023-02-16,0.24278549875
2023-02-17,0.068028704
2023-02-18,0.00013980275
2023-02-19,0.0001356885
2023-02-20,0.03743921025
2023-02-21,0.14210000625
2023-02-22,0.09024645475
2023-02-23,0.13856294525
2023-02-24,0.00761136525
2023-02-25,0.027829409
2023-02-26,0.0031022175
2023-02-27,0.02350819525
2023-02-28,0.00198090425
2023-03-01,0.018507868
2023-03-02,0.20902549125
2023-03-03,0.179348616
2023-03-04,0.15666356325
2023-03-05,0.11483874975
2023-03-06,0.04234335275
2023-03-07,0.00385297125
2023-03-08,0.0379022745
2023-03-09,0.0158435695
2023-03-10,0.05801692075
2023-03-11,0.00113397225
2023-03-12,0.0260973675
2023-03-13,0.03013624925
2023-03-14,0.0252582205
2023-03-15,0.003085195
2023-03-16,0.00124154375
2023-03-17,0.060689442
2023-03-18,0.0483406955
2023-03-19,0.01228365675
2023-03-20,0.2187922685
2023-03-21,0.018692941
2023-03-22,0.07975331325
2023-03-23,0.28437617093171413
2023-03-24,24.690838373172316
2023-03-25,81.0226704000745
2023-03-26,85.65132280529087
2023-03-27,91.25526451022195
2023-03-28,89.30959051894305
2023-03-29,94.21993559921363
2023-03-30,91.86299615398806
2023-03-31,116.11682455492408
2023-04-01,77.23583093149533
2023-04-02,83.4459606799556
2023-04-03,107.41890304886223
2023-04-04,100.53933262109595
2023-04-05,108.66105701958399
2023-04-06,112.77142100268532
2023-04-07,93.39141901049022
2023-04-08,92.36337263501665
2023-04-09,97.14151602329098
2023-04-10,115.57610557014723
2023-04-11,116.85800658858683
2023-04-12,106.98175528655862
2023-04-13,98.73274143112188
2023-04-14,86.83689483329557
2023-04-15,81.27245459874719
2023-04-16,78.25468038499174
2023-04-17,83.25474649700274
2023-04-18,94.74980618779114
2023-04-19,127.330821650781
2023-04-20,90.47173760188903
2023-04-21,77.51491376805728
2023-04-22,83.44676743148257
2023-04-23,96.1361204931761
2023-04-24,107.56524869104682
2023-04-25,116.44604326187932
2023-04-26,116.65770723108587
2023-04-27,123.9768597013609
2023-04-28,118.5220794614298
2023-04-29,114.21452198843072
2023-04-30,125.32665374923289
2023-05-01,176.7170054782267
2023-05-02,102.78977996508222
2023-05-03,110.78065253858306
2023-05-04,187.96218238886973
2023-05-05,173.16573011128744
2023-05-06,151.4502997348354
2023-05-07,112.84995305842018
2023-05-08,182.8363222220423
2023-05-09,151.01115529474586
2023-05-10,402.0854429056166
2023-05-11,252.25362784711007
2023-05-12,148.4625980421071
2023-05-13,207.65848854837512
2023-05-14,164.14996610308845
2023-05-15,215.85812446005622
2023-05-16,391.0019290397014
2023-05-17,318.1148162428393
2023-05-18,170.65665535271123
2023-05-19,147.59419827149327
2023-05-20,125.36651384682128
2023-05-21,161.11235333184814
2023-05-22,144.84995544970954
2023-05-23,136.5014196595745
2023-05-24,149.37350562787867
2023-05-25,135.21954657650264
2023-05-26,147.0190486475452
2023-05-27,134.38122697361896
2023-05-28,137.74554211019642
2023-05-29,130.5715768269325
2023-05-30,130.52762469285994
2023-05-31,148.99931820586443
2023-06-01,104.31422337705386
2023-06-02,131.44785196319603
2023-06-03,129.5369022268978
2023-06-04,138.1997302687431
2023-06-05,121.83530522531164
2023-06-06,120.89260617615801
2023-06-07,106.39368999584018
2023-06-08,99.07589619966716
2023-06-09,96.09169756214438
2023-06-10,86.31009011609918
2023-06-11,102.52982618311665
2023-06-12,107.27885334478452
2023-06-13,104.83357940404362
2023-06-14,116.67725473706211
2023-06-15,102.05363573103958
2023-06-16,104.03767339818282
2023-06-17,97.45245183916656
2023-06-18,86.72854385718752
2023-06-19,98.4092267269008
2023-06-20,103.33326141959029
2023-06-21,98.15392807598877
2023-06-22,80.11224263549217
2023-06-23,67.57014437698345
2023-06-24,91.66470447630462
2023-06-25,101.52372512779255
2023-06-26,103.07715961312054
2023-06-27,108.0287744328627
2023-06-28,125.97427416037046
2023-06-29,106.13394843021726
2023-06-30,119.4895172706878
2023-07-01,100.46609043723048
2023-07-02,81.66697877751862
2023-07-03,104.41954945362889
2023-07-04,134.83656133313977
2023-07-05,118.42518609323098
2023-07-06,119.79726892696057
2023-07-07,129.55341265627587
2023-07-08,135.3186630368893
2023-07-09,112.63664028377944
2023-07-10,132.4446354392166
2023-07-11,136.00418387259944
2023-07-12,137.12693035497935
2023-07-13,131.7315403908086
2023-07-14,121.38388548640259
2023-07-15,136.50008456424996
2023-07-16,124.41129317209682
2023-07-17,127.49053405849087
2023-07-18,119.6216002353836
2023-07-19,134.96938574416058
2023-07-20,130.17794931844375
2023-07-21,125.18046357554293
2023-07-22,132.78369086676597
2023-07-23,133.85459752422895
2023-07-24,128.30231588009858
2023-07-25,182.7046215407097
2023-07-26,148.07408384996413
2023-07-27,128.48398294832262
2023-07-28,111.85145506944012
2023-07-29,117.73393317354369
2023-07-30,131.2865778632551
2023-07-31,122.47498285652969
2023-08-01,113.28650510292888
2023-08-02,117.61842421985251
2023-08-03,116.34910195072595
2023-08-04,112.85212201628948
2023-08-05,114.00032543088527
2023-08-06,115.25262257918122
2023-08-07,109.288782468984
2023-08-08,120.84184348634942
2023-08-09,125.84610287018224
2023-08-10,119.99765597653584
2023-08-11,115.14002834203673
2023-08-12,128.66994709169882
2023-08-13,124.56293819545297
2023-08-14,120.27451684696977
2023-08-15,104.74522660935283
2023-08-16,128.11508948070815
2023-08-17,130.87418488782362
2023-08-18,111.53613626029669
2023-08-19,125.3780975362421
2023-08-20,101.86718093690347
2023-08-21,116.92116634867541
2023-08-22,117.98848802395815
2023-08-23,128.63002434238498
