Date,Value
2023-02-14,0
2023-02-15,0.2916666666666667
2023-02-16,0.23660714285714285
2023-02-17,0.2
2023-02-18,0.25
2023-02-19,0.25
2023-02-20,0.2493857493857494
2023-02-21,0.18181818181818182
2023-02-22,0.21568627450980393
2023-02-23,0.24782608695652175
2023-02-24,0.23897058823529413
2023-02-25,0.203125
2023-02-26,0.14285714285714285
2023-02-27,0.2222222222222222
2023-02-28,0.25
2023-03-01,0.2430939226519337
2023-03-02,0.24989307100085542
2023-03-03,0.2498642779587405
2023-03-04,0.25
2023-03-05,0.25
2023-03-06,0.22857142857142856
2023-03-07,0.203125
2023-03-08,0.2380952380952381
2023-03-09,0.23387096774193547
2023-03-10,0.25
2023-03-11,0.125
2023-03-12,0.22916666666666666
2023-03-13,0.21875
2023-03-14,0.2
2023-03-15,0.25
2023-03-16,0.16666666666666666
2023-03-17,0.1875
2023-03-18,0.23214285714285715
2023-03-19,0.23484848484848486
2023-03-20,0.21666666666666667
2023-03-21,0.225
2023-03-22,0.23790322580645162
2023-03-23,0.2430473286775701
2023-03-24,0.33189752130162276
2023-03-25,0.28011568372045775
2023-03-26,0.27675118228024675
2023-03-27,0.2804628171760602
2023-03-28,0.27467206571841335
2023-03-29,0.2739889068104765
2023-03-30,0.2739537397062686
2023-03-31,0.2721484060238884
2023-04-01,0.27201682941769134
2023-04-02,0.27003039986510957
2023-04-03,0.26673096339101854
2023-04-04,0.2670195337698058
2023-04-05,0.2668927077274359
2023-04-06,0.2641421782584547
2023-04-07,0.2644065310050599
2023-04-08,0.26470946909108206
2023-04-09,0.26323869169369696
2023-04-10,0.26128672403930076
2023-04-11,0.2610818151891591
2023-04-12,0.26140911295745256
2023-04-13,0.2607549591311562
2023-04-14,0.26109746782398313
2023-04-15,0.26089032368891085
2023-04-16,0.2610172270496573
2023-04-17,0.2617441536280014
2023-04-18,0.2644947624913553
2023-04-19,0.2657918039417175
2023-04-20,0.27030018213262474
2023-04-21,0.2640719552219945
2023-04-22,0.26334856738897294
2023-04-23,0.264250597241368
2023-04-24,0.26256309650227844
2023-04-25,0.2626128681159834
2023-04-26,0.26163830039971747
2023-04-27,0.2615219725092739
2023-04-28,0.261176899821859
2023-04-29,0.263537597962352
2023-04-30,0.2636342757481322
2023-05-01,0.2626526483688358
2023-05-02,0.2665871679124602
2023-05-03,0.26438982874799466
2023-05-04,0.26297800005379995
2023-05-05,0.2675085864191357
2023-05-06,0.27056526177146584
2023-05-07,0.2731680610681808
2023-05-08,0.26545838764130875
2023-05-09,0.27017822070642905
2023-05-10,0.2591844243379019
2023-05-11,0.2584508049100571
2023-05-12,0.26539121093879336
2023-05-13,0.26227100556016997
2023-05-14,0.2612895538701905
2023-05-15,0.26115167694350444
2023-05-16,0.2591304673385441
2023-05-17,0.2602022562208528
2023-05-18,0.2601463908659075
2023-05-19,0.2615690690988195
2023-05-20,0.26149905358239633
2023-05-21,0.25861386290174604
2023-05-22,0.25813659910876147
2023-05-23,0.25694495458570193
2023-05-24,0.2593169004777252
2023-05-25,0.25943784531679015
2023-05-26,0.2579831259119082
2023-05-27,0.2582403830776236
2023-05-28,0.2564142051147426
2023-05-29,0.2573926675044933
2023-05-30,0.2570356776201667
2023-05-31,0.25938375916214074
2023-06-01,0.25623989731636904
2023-06-02,0.2559534533257202
2023-06-03,0.25642814586945645
2023-06-04,0.2564661470299917
2023-06-05,0.2555666681608128
2023-06-06,0.2552956439672465
2023-06-07,0.255508631281074
2023-06-08,0.2551626373514047
2023-06-09,0.2563152890168141
2023-06-10,0.2559540400526624
2023-06-11,0.2564561390656901
2023-06-12,0.25665696844000807
2023-06-13,0.25601933459326154
2023-06-14,0.25576737206016625
2023-06-15,0.2555053804044652
2023-06-16,0.255541409574991
2023-06-17,0.2558499716965064
2023-06-18,0.2554876904957034
2023-06-19,0.25453845554460647
2023-06-20,0.25517749381797306
2023-06-21,0.2556290275019057
2023-06-22,0.25519413520578876
2023-06-23,0.25509952703223526
2023-06-24,0.2557198157646744
2023-06-25,0.25563928354776366
2023-06-26,0.25638280480043074
2023-06-27,0.25566610963966363
2023-06-28,0.2548116869573013
2023-06-29,0.25478119227388674
2023-06-30,0.2554527147654945
2023-07-01,0.25549381866159054
2023-07-02,0.2552979212068662
2023-07-03,0.2540110209908773
2023-07-04,0.2537187465395269
2023-07-05,0.2532388897370527
2023-07-06,0.2526531273617755
2023-07-07,0.2532989675728772
2023-07-08,0.25431276370466355
2023-07-09,0.25444090561109495
2023-07-10,0.25386690524570105
2023-07-11,0.25326299009499825
2023-07-12,0.2536738553108785
2023-07-13,0.2537321726305001
2023-07-14,0.2546144123013903
2023-07-15,0.25679870877752575
2023-07-16,0.25449712465651986
2023-07-17,0.2534945004928178
2023-07-18,0.2553472197904692
2023-07-19,0.25324493786643143
2023-07-20,0.2536314213405496
2023-07-21,0.25294973193505393
2023-07-22,0.25370740524756
2023-07-23,0.25607003663083067
2023-07-24,0.2528278482660551
2023-07-25,0.2516721247331414
2023-07-26,0.2525487199817054
2023-07-27,0.2525390499424345
2023-07-28,0.25299308481117483
2023-07-29,0.2539678612975231
2023-07-30,0.25482430460338334
2023-07-31,0.2541245457605421
2023-08-01,0.2525089740307361
2023-08-02,0.2526961206836817
2023-08-03,0.25292476241789685
2023-08-04,0.2526344270246871
2023-08-05,0.2526150037388544
2023-08-06,0.252849434274441
2023-08-07,0.25217396111306273
2023-08-08,0.25207458805412863
2023-08-09,0.2524995039908548
2023-08-10,0.2524063058514537
2023-08-11,0.2522034105139951
2023-08-12,0.25259750721334373
2023-08-13,0.2526638205349031
2023-08-14,0.25204315764052365
2023-08-15,0.2524397949291722
2023-08-16,0.2519655520628732
2023-08-17,0.2523787036184924
2023-08-18,0.25192910999397927
2023-08-19,0.2529687893063428
2023-08-20,0.25286177358873296
2023-08-21,0.2525910388783452
2023-08-22,0.25223116334329787
2023-08-23,0.25266237238549394
2023-08-24,0.25227191639604446
2023-08-25,0.2522997858700883
2023-08-26,0.25341549403936553
2023-08-27,0.25350728246158694
2023-08-28,0.2523940954266612
2023-08-29,0.25250863156252773
2023-08-30,0.252718049342011
2023-08-31,0.25348199253099707
2023-09-01,0.253047940226652
2023-09-02,0.2527842983180399
2023-09-03,0.2528528126514551
2023-09-04,0.2526376489304316
2023-09-05,0.25269368474311055
2023-09-06,0.25241094984531154
2023-09-07,0.25283267073260807
2023-09-08,0.2528048135034837
2023-09-09,0.2531276336086794
2023-09-10,0.2531761785951533
2023-09-11,0.2527935483233153
2023-09-12,0.25309457002460206
2023-09-13,0.25248421598887894
2023-09-14,0.2529696988720876
2023-09-15,0.253091534811774
2023-09-16,0.2534972897735813
2023-09-17,0.25361885989701655
2023-09-18,0.252719566785535
2023-09-19,0.2526882342801227
2023-09-20,0.252713685054183
2023-09-21,0.2527319605243777
2023-09-22,0.25281890581669697
2023-09-23,0.2532306993115257
2023-09-24,0.25364012538734065
2023-09-25,0.25275958369838497
2023-09-26,0.2528773421148183
2023-09-27,0.2532184304833222
2023-09-28,0.2532401363763248
2023-09-29,0.2534242794265106
2023-09-30,0.25370864995391934
2023-10-01,0.2529055162128818
2023-10-02,0.2520754057228117
2023-10-03,0.25254976484839287
2023-10-04,0.252494518562938
2023-10-05,0.2529532935686188
2023-10-06,0.2524415938304569
2023-10-07,0.252728513136179
2023-10-08,0.2528709459167373
2023-10-09,0.25257166414433035
2023-10-10,0.2525997086970029
2023-10-11,0.2524799343794798
2023-10-12,0.25241415530590106
2023-10-13,0.25223495958860515
2023-10-14,0.25300349305033626
2023-10-15,0.2530314709300125
2023-10-16,0.25223615733776095
2023-10-17,0.25230669376632536
2023-10-18,0.25207846558426467
2023-10-19,0.2521435465774231
2023-10-20,0.25201712714962854
2023-10-21,0.25241538878562575
2023-10-22,0.25230083752556165
2023-10-23,0.2518703694091144
2023-10-24,0.2513300718511267
2023-10-25,0.25163456168032966
2023-10-26,0.25130325315474766
2023-10-27,0.2514578848532679
2023-10-28,0.25140823750602126
2023-10-29,0.2518106949029396
2023-10-30,0.25159424610188325
